month	personal	attorney	total
Jan. 1828	61	18	79
Feb. 1828	55	15	70
Mar. 1828	15	9	24
Apr. 1828	43	17	60
May 1828	60	17	77
Jun. 1828	14	10	24
Jul. 1828	53	29	82
Aug. 1828	60	18	78
Sep. 1828	37	10	47
Oct. 1828	52	14	66
Nov. 1828	62	5	67
Dec. 1828	5	5	10
Jan. 1829	54	13	67
Feb. 1829	84	29	113
Mar. 1829	13	3	16
Apr. 1829	60	34	94
May 1829	99	27	126
Jun. 1829	22	6	28
Jul. 1829	74	27	101
Aug. 1829	67	31	98
Sep. 1829	42	17	59
Oct. 1829	59	18	77
Nov. 1829	68	9	77
Dec. 1829	17	5	22
Jan. 1830	63	24	87
Feb. 1830	90	31	121
Mar. 1830	49	23	72
Apr. 1830	95	36	131
May 1830	66	28	94
Jun. 1830	19	6	25
Jul. 1830	69	20	89
Aug. 1830	47	21	68
Sep. 1830	32	10	42
Oct. 1830	47	10	57
Nov. 1830	52	24	76
Dec. 1830	10	0	10
Jan. 1831	31	15	46
Feb. 1831	46	21	67
Mar. 1831	16	13	29
Apr. 1831	55	25	80
May 1831	77	26	103
Jun. 1831	15	2	17
Jul. 1831	68	23	91
Aug. 1831	73	19	92
Sep. 1831	42	15	57
Oct. 1831	51	23	74
Nov. 1831	64	12	76
Dec. 1831	8	8	16
Jan. 1832	59	19	78
Feb. 1832	73	32	105
Mar. 1832	11	3	14
Apr. 1832	64	12	76
May 1832	85	36	121
Jun. 1832	16	6	22
Jul. 1832	75	31	106
Aug. 1832	81	15	96
Sep. 1832	43	9	52
Oct. 1832	41	18	59
Nov. 1832	50	18	68
Dec. 1832	11	2	13
Jan. 1833	91	25	116
Feb. 1833	85	18	103
Mar. 1833	20	7	27
Apr. 1833	185	62	247
May 1833	144	32	176
Jun. 1833	27	14	41
Jul. 1833	147	53	200
Aug. 1833	119	38	157
Sep. 1833	44	27	71
Oct. 1833	87	19	106
Nov. 1833	80	14	94
Dec. 1833	19	5	24
Jan. 1834	94	27	121
Feb. 1834	124	26	150
Mar. 1834	25	8	33
Apr. 1834	108	46	154
May 1834	98	32	130
Jun. 1834	23	8	31
Jul. 1834	77	35	112
Aug. 1834	102	29	131
Sep. 1834	66	23	89
Oct. 1834	54	18	72
Nov. 1834	96	25	121
Dec. 1834	17	0	17
