id;name_code;name;lat;lon
2388;fife;Fife;47.23927;-122.35707
2390;greenwich;Greenwich;41.02649;-73.62846
2391;rochester;Rochester;39.74949;-89.53176
2393;somerset;Somerset;-41.04065;145.83055
2394;hythe;Hythe;50.86004;-1.40162
2396;camberwell;Camberwell;51.4739;-0.09381
2398;cheshire;Cheshire;41.49899;-72.90066
2399;york;York;40.86807;-97.592
2400;iow;IoW;41.66113;-91.53017
2402;hull;Hull;42.30204;-70.90782
2407;dorchester;Dorchester;42.98339;-81.06643
2408;argyle;Argyle;33.12123;-97.18335
2411;doncaster;Doncaster;53.52285;-1.13116
2412;chelsea;Chelsea;43.98979;-72.4476
2413;clerkenwell;Clerkenwell;51.52438;-0.11022
2416;cornwall;Cornwall;40.2737;-76.40607
2417;montgomery;Montgomery;41.17036;-76.87691
2418;nottingham;Nottingham;52.9536;-1.15047
2419;hackney;Hackney;51.55;-0.05
2431;worcester;Worcester;52.18935;-2.22001
2433;rotherhithe;Rotherhithe;51.5;-0.05
2436;leicester;Leicester;43.86673;-73.10789
2437;bow;Bow;51.52609;-0.01665
2438;cambridge;Cambridge;40.03118;-81.58846
2439;otley;Otley;53.90553;-1.69383
2441;holborn;Holborn;51.51753;-0.12045
2442;west ham;West Ham;51.53333;0.01667
2450;piccadilly;Piccadilly;-30.7428;121.46418
2453;poplar;Poplar;51.51113;-0.01565
2455;sul;Sul;50.60911;10.69401
2462;montego bay;Montego Bay;18.47116;-77.91883
2463;radnor;Radnor;40.04622;-75.35991
2465;new ross;New Ross;52.39667;-6.93667
2466;waltham;Waltham;42.37649;-71.23561
2467;brecon;Brecon;51.94612;-3.38887
2468;chard;Chard;50.8727;-2.96597
2469;penzance;Penzance;50.11861;-5.53715
2472;hampstead;Hampstead;39.60483;-76.84998
2477;tain;Tain;57.81204;-4.05518
2479;haw;Haw;51.80169;-4.96914
2484;kincardine;Kincardine;44.18339;-81.63307
2485;winchester;Winchester;38.59033;-90.5279
2486;guildford;Guildford;51.23536;-0.57427
2487;stroud;Stroud;51.75;-2.2
2491;oxon;Oxon;38.80345;-76.9897
2492;brighton;Brighton;43.14756;-77.55055
2493;selkirk;Selkirk;50.1436;-96.88452
2495;glandwr;Glandwr;51.92833;-4.63333
2496;thirsk;Thirsk;54.23298;-1.34411
2497;kendal;Kendal;54.32681;-2.74757
2500;westmorland;Westmorland;33.03727;-115.62138
2501;evesham;Evesham;52.09237;-1.94887
2502;taunton;Taunton;51.01494;-3.10293
2506;sandwich;Sandwich;41.64586;-88.62174
2507;cockermouth;Cockermouth;54.66209;-3.36086
2509;huntingdon;Huntingdon;40.4848;-78.01028
