month 	personal	attorney	total
Aug. 1821	51200	9291	60491
Sep. 1821	13944	14636	28580
Oct. 1821	42409	14593	57002
Nov. 1821	65463	26183	91646
Dec. 1821	14075	1137	15212
Jan. 1822	56576	22598	79174
Feb. 1822	138169	18399	156568
Mar. 1822	14891	5483	20374
Apr. 1822	55204	15235	70439
May 1822	40750	21462	62212
Jun. 1822	8029	3350	11379
Jul. 1822	82467	64602	147069
Aug. 1822	65550	39939	105489
Sep. 1822	27583	20263	47846
Oct. 1822	57290	24188	81478
Nov. 1822	81537	14405	95942
Dec. 1822	1000	647	1647
Jan. 1823	103421	17643	121064
Feb. 1823	78278	15571	93849
Mar. 1823	24316	625	24941
Apr. 1823	86474	25937	112411
May 1823	67470	18209	85679
Jun. 1823	9233	2500	11733
Jul. 1823	86096	33482	119578
Aug. 1823	79632	23011	102643
Sep. 1823	58245	13225	71470
Oct. 1823	53753	25477	79230
Nov. 1823	68250	40921	109171
Dec. 1823	9550	5000	14550
Jan. 1824	72671	32558	105229
Feb. 1824	64700	21820	86520
Mar. 1824	21408	13527	34935
Apr. 1824	99356	41860	141216
May 1824	62584	19363	81947
Jun. 1824	16778	16766	33544
