;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
28266;s1281;s1281v5;s1281v5c1;8 May 1683;1683;5.0;8.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28269;s1281;s1281v5;s1281v5c2;1 Aug 1684;1684;8.0;1.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28272;s1281;s1281v6;s1281v6c1;2 Jun 1685;1685;6.0;2.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28275;s1281;s1281v6;s1281v6c2;21 Jul 1688;1688;7.0;21.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28309;s1286;s1286v3;s1286v3c2;24 May Mozambique;1756;5.0;24.0;l250;False;l250;Mozambique;calls;-15.03466;40.73447;indian_ocean
28310;s1286;s1286v3;s1286v3c3;28 May Moheli;1756;5.0;28.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
28397;s1290;s1290v1;s1290v1c2;wrecked at 'Engano', Sumatra, 15 Nov 1618;1618;11.0;15.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28400;s1291;s1291v2;s1291v2c3;10 Jun Mokha;1721;6.0;10.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
28499;s1297;s1297v1;s1297v1c2;26 May 1673;1673;5.0;26.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28508;s1297;s1297v4;s1297v4c2;los;1682;;;l813;True;l813;los;calls;45.50719;105.75594;indian_ocean
28514;s1298;s1298v2;s1298v2c1;23 Jan 1784;1784;1.0;23.0;;True;;maldives;calls;4.18;73.51;indian_ocean
