;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
15581;s711;s711v2;s711v2c7;Bantam;1617;;;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15586;s711;s711v3;s711v3c4;Nov Batavia;1621;11.0;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15587;s711;s711v3;s711v3c5;Jambi;1621;;;l166;False;l166;Jambi;calls;-1.6;103.61667;southeast_asia
15588;s711;s711v3;s711v3c6;Mar 1622 Batavia;1622;3.0;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15589;s711;s711v3;s711v3c7;Jambi;1622;;;l166;False;l166;Jambi;calls;-1.6;103.61667;southeast_asia
15590;s711;s711v3;s711v3c8;May Batavia;1622;5.0;;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15605;s714;s714v2;s714v2c2;27 Jul Batavia;1721;7.0;27.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15612;s715;s715v2;s715v2c3;1 Oct Benkulen;1724;10.0;1.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
15613;s715;s715v2;s715v2c4;6 Nov Batavia;1724;11.0;6.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15615;s715;s715v2;s715v2c6;7 Mar 1725 Batavia;1725;3.0;7.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15627;s715;s715v4;s715v4c3;18 Jun Bantam;1731;6.0;18.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15628;s715;s715v4;s715v4c4;24 Jun Batavia;1731;6.0;24.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15629;s715;s715v4;s715v4c5;13 Jul Benkulen;1731;7.0;13.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
15630;s715;s715v4;s715v4c6;4 Sep Moco Moco;1731;9.0;4.0;l83;False;l83;Moco Moco;calls;-2.5833;101.117;southeast_asia
15632;s715;s715v4;s715v4c8;7 Nov Benkulen;1731;11.0;7.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
15633;s715;s715v4;s715v4c9;2 Dec Batavia;1731;12.0;2.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15646;s717;s717v1;s717v1c5;May Acheh;1618;5.0;;l84;False;l84;Acheh;calls;5.3325;95.1934;southeast_asia
15647;s717;s717v1;s717v1c6;4 Aug Tiku;1618;8.0;4.0;l23;False;l23;Tiku;calls;-0.3958;99.92307;southeast_asia
15648;s717;s717v1;s717v1c7;22 Sep Bantam 27 May 1619;1619;5.0;27.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15650;s717;s717v1;s717v1c9;Tiku;1619;;;l23;False;l23;Tiku;calls;-0.3958;99.92307;southeast_asia
15662;s717;s717v2;s717v2c8;10 Jun Batavia;1625;6.0;10.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15674;s717;s717v3;s717v3c8;24 Aug Bantam 6 Oct;1631;10.0;6.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15703;s718;s718v4;s718v4c5;11 Mar Batavia;1816;3.0;11.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15704;s718;s718v4;s718v4c6;2 May Amboyna;1816;5.0;2.0;l955;False;l955;Amboyna;calls;-3.69583;128.18333;southeast_asia
15705;s718;s718v4;s718v4c7;23 May Banda;1816;5.0;23.0;l182;False;l182;Banda;calls;-4.35;129.55;southeast_asia
15706;s718;s718v4;s718v4c8;24 Jun Amboyna;1816;6.0;24.0;l955;False;l955;Amboyna;calls;-3.69583;128.18333;southeast_asia
15720;s718;s718v7;s718v7c3;25 Jan 1827 Penang;1827;1.0;25.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15721;s718;s718v7;s718v7c4;12 Feb Malacca;1827;2.0;12.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15754;s722;s722v1;s722v1c2;6 Sep 1632 Bantam Dec;1632;12.0;6.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
