;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
21498;s981;s981v4;s981v4c4;1 Oct Surat;1777;10.0;1.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21499;s981;s981v4;s981v4c5;23 Oct Bombay;1777;10.0;23.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21547;s983;s983v3;s983v3c4;11 Sep Bombay;1770;9.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21548;s983;s983v3;s983v3c5;3 Nov Onore;1770;11.0;3.0;l290;False;l290;Onore;calls;14.28;74.4439;bombay_presidency
21549;s983;s983v3;s983v3c6;26 Nov Bombay;1770;11.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21551;s983;s983v3;s983v3c8;14 Mar Bombay;1771;3.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21561;s983;s983v4;s983v4c4;2 Aug Bombay;1774;8.0;2.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21562;s983;s983v4;s983v4c5;19 Sep Surat;1774;9.0;19.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21585;s984;s984v2;s984v2c3;15 Sep Bombay;1785;9.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21586;s984;s984v2;s984v2c4;8 Dec Surat;1785;12.0;8.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21587;s984;s984v2;s984v2c5;5 Jan 1786 Bombay;1786;1.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21589;s984;s984v2;s984v2c7;7 Mar Bombay;1786;3.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21591;s984;s984v2;s984v2c9;5 May Bombay;1786;5.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21598;s984;s984v3;s984v3c3;26 Jul Bombay;1788;7.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21641;s986;s986v1;s986v1c11;20 Feb Bombay;1807;2.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21700;s987;s987v2;s987v2c4;24 Feb Bombay;1741;2.0;24.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21711;s988;s988v1;s988v1c4;17 Aug Bombay;1766;8.0;17.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21762;s990;s990v5;s990v5c3;19 Dec Bombay;1796;12.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21765;s990;s990v5;s990v5c6;14 Apr Bombay;1797;4.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21774;s990;s990v6;s990v6c2;26 May Bombay;1801;5.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21849;s996;s996v1;s996v1c2;22 May Bombay;1801;5.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21934;s999;s999v2;s999v2c4;19 Jul Bombay;1731;7.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21937;s999;s999v2;s999v2c7;14 Jan 1732 Bombay;1732;1.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21938;s999;s999v2;s999v2c8;4 Feb Goa;1732;2.0;4.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
21958;s1001;s1001v2;s1001v2c3;5 Sep Bombay;1738;9.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21959;s1001;s1001v2;s1001v2c4;10 Oct Surat;1738;10.0;10.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21960;s1001;s1001v2;s1001v2c5;26 Oct Bombay;1738;10.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21968;s1001;s1001v3;s1001v3c5;3 Nov Goa;1741;11.0;3.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
21970;s1001;s1001v3;s1001v3c7;8 Jan 1742 Bombay;1742;1.0;8.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21972;s1001;s1001v3;s1001v3c9;19 Mar Bombay;1742;3.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
22038;s1004;s1004v2;s1004v2c5;13 Oct Bombay;1748;10.0;13.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
22109;s1008;s1008v3;s1008v3c3;15 Jun Bombay;1822;6.0;15.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
22133;s1008;s1008v7;s1008v7c3;14 Jun Bombay;1830;6.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
22139;s1008;s1008v8;s1008v8c2;13 May Bombay;1832;5.0;13.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
