;location_id;count;location;category;lat;lon;region
394;l268;2;Siam;calls;12.6414;101.021;southeast_asia
396;l353;2;Mahim;calls;19.035;72.84;bombay_presidency
421;l1111;1;Coromandel;calls;13.3667;80.3333;madras_presidency
475;l1008;1;Pulau Run;calls;-4.332587;129.4163;southeast_asia
479;l1012;1;Johore;calls;1.4655;103.7578;southeast_asia
498;l952;1;Cascais;calls;38.69681;-9.42147;atlantic
504;l963;1;Great Nanka;calls;-2.25;105.48;southeast_asia
524;l1069;1;Bandar;calls;2.05;99.75;southeast_asia
526;l1072;1;Southampton;calls;50.90395;-1.40428;british_isles
530;l1076;1;Surabaya;calls;-4.67122;105.72571;southeast_asia
535;l1082;1;Bab el Mandeb;calls;12.35;43.2;indian_ocean
559;l1033;1;Boeton;calls;-5.4633;122.6024;southeast_asia
568;l1044;1;St Croix;calls;17.72751;-64.74698;atlantic
572;l1050;1;Luanda;calls;0.31354;34.07146;indian_ocean
586;l1374;1;Norfolk Island;calls;-29.02;167.57;indian_ocean
592;l1385;1;Toun;calls;46.75118;7.62166;atlantic
606;l1401;1;Sao Paulo;calls;-23.5475;-46.63611;atlantic
610;l1367;1;Cape Augustine;calls;-8.1723;-35.0148;atlantic
612;l1347;1;Cape Verde;calls;15.55;-23.55;atlantic
613;l1331;1;Brest;calls;48.23;-4.29;british_isles
614;l1332;1;Trengganu;calls;5.3302;103.1408;southeast_asia
628;l1365;1;Port Cornwallis;calls;13.17;93.05;southeast_asia
649;l1450;1;Java;calls;-7.293;110.0016;southeast_asia
660;l1464;1;long;calls;18.07422;99.83073;indian_ocean
702;l1431;1;Zanzibar;calls;-6.16394;39.19793;indian_ocean
711;l1330;1;Dewas;calls;22.96585;76.05526;indian_ocean
713;l1165;1;Anjengo Cape;calls;8.4833;76.9167;madras_presidency
737;l1236;1;gap;calls;44.55858;6.07868;atlantic
739;l1239;1;Nagasaki;calls;32.75;129.88333;china
740;l1240;1;Krakatoa;calls;-6.0607;105.2523;southeast_asia
753;l1171;1;Porto Novo;calls;17.01969;-25.06471;atlantic
756;l1174;1;All Saints' Bay, Brazil;calls;-12.51;-38.38;atlantic
758;l1176;1;Natal;calls;0.5632;99.1099;southeast_asia
760;l1178;1;Bay of Bulls, Newfoundland;calls;47.299;-52.781;atlantic
762;l1180;1;Tynemouth;calls;55.01788;-1.42559;british_isles
765;l1203;1;Pearl River;calls;32.78347;-89.22784;atlantic
769;l1189;1;Nootka Sound;calls;49.41;-126.33;atlantic
770;l1190;1;Queen Charlotte's Islands;calls;-11.0;166.15;indian_ocean
771;l1191;1;Sandwich Islands;calls;20.54;-156.36;indian_ocean
772;l1192;1;Montague Island;calls;-36.15;150.13;indian_ocean
792;l1302;1;Leghorn;calls;43.54427;10.32615;atlantic
802;l1314;1;Okinawa;calls;26.33583;127.80139;china
848;l931;1;Ireland;calls;53.2658;-7.3011;british_isles
855;l416;1;Bristol Channel;calls;51.3777;-4.2291;british_isles
856;l417;1;Palembang;calls;-2.91673;104.7458;southeast_asia
873;l437;1;Jakarta;calls;-6.21462;106.84513;southeast_asia
877;l447;1;Ryukyu Islands;calls;26.3;127.54;china
884;l348;1;St Pierre;calls;46.77914;-56.1773;atlantic
890;l358;1;Toon;calls;33.79427;132.89011;indian_ocean
891;l360;1;Sing;calls;14.88786;100.40464;southeast_asia
892;l361;1;moon;calls;58.60194;23.24694;indian_ocean
896;l369;1;Karrack;calls;29.1528;50.193;indian_ocean
910;l404;1;Ramsgate;calls;51.33568;1.41797;british_isles
922;l522;1;the Gore;calls;41.96677;-71.43284;atlantic
945;l503;1;Howrah;calls;-42.88728;147.40554;indian_ocean
953;l474;1;Quedah;calls;6.0742;100.2146;southeast_asia
967;l491;1;Deal;calls;51.22316;1.4028;british_isles
969;l494;1;Ceram;calls;-3.08;129.3;southeast_asia
970;l495;1;Kambelu;calls;-3.08;129.3;southeast_asia
974;l347;1;St Lucia;calls;-28.37622;32.41181;indian_ocean
991;l176;1;Cagayan Sulu;calls;6.5841;118.3047;southeast_asia
1004;l199;1;Pemba;calls;-12.97395;40.51775;indian_ocean
1005;l200;1;Seychelles;calls;-4.35;55.4;indian_ocean
1009;l138;1;Faro;calls;37.01869;-7.92716;atlantic
1010;l17;1;Kowloon;calls;22.31667;114.18333;china
1015;l42;1;Khanderi;calls;18.7042;72.8131;bombay_presidency
1020;l61;1;Cavite;calls;15.67785;120.76978;southeast_asia
1023;l66;1;nang;calls;29.04701;93.08795;indian_ocean
1024;l72;1;Belem;calls;19.63334;-98.79664;atlantic
1025;l73;1;Scarborough;calls;54.27966;-0.40443;british_isles
1030;l109;1;West India Dock;calls;51.50347;-0.01722;british_isles
1031;l112;1;Accra;calls;5.55602;-0.1969;atlantic
1032;l113;1;Ouidah;calls;6.36307;2.08506;atlantic
1035;l131;1;Persia;calls;27.2532;53.8998;indian_ocean
1042;l274;1;Reach;calls;43.91064;-69.8206;atlantic
1078;l222;1;Dungeness;calls;50.55;0.58;british_isles
1088;l235;1;Stokes Bay;calls;50.779;-1.164;british_isles
1100;l563;1;Diu;calls;20.71405;70.98224;bombay_presidency
